#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
733.347285,225,48797.876729
57.068728,100,48809.208246
10081.265112,3368,49192.925384
8062.234201,2618,49490.787319
5096.980555,1624,49675.752845
4167.752185,1300,49823.478067
1668.703992,538,49884.742595
2578.547535,873,49984.096177
6802.921653,2153,50229.181598
6814.723236,2153,50474.028166
16988.939315,5388,51086.665937
1696.282287,539,51147.92694
1691.954481,539,51209.19204
6797.725565,2153,51454.292985
8444.755815,2691,51760.541734
5134.13612,1617,51944.500466
10123.546115,3225,52311.63739
5087.982341,1619,52495.381158
3339.773807,889,52596.726654
52.556173,105,52608.634388
1630.99782,538,52669.987831
1658.532556,541,52731.256235
8416.223562,2687,53037.590898
6714.686297,2149,53282.39814
1742.273917,642,53355.722685
4856.049487,1511,53527.540819
3229.269404,1176,53661.407572
666.230259,232,53687.829195
4350.70573,1565,53866.127877
2289.497268,737,53949.621777
1735.641766,644,54022.995059
1527.176345,273,54054.138973
2520.7968,959,54162.851394
25288.710972,8306,55109.392596
3290.507848,1078,55231.90142
119.284764,131,55246.811192
3959.550697,1428,55409.453112
53.73744,105,55421.493423
169.527933,216,55446.230978
-24.33178,1,55446.347929
-24.737418,1,55446.469554
-24.46809,1,55446.572981
68.358065,106,55458.685959
-20.636843,5,55459.241801
-24.066458,1,55459.363569
-24.677254,2,55459.595165
1640.362427,642,55532.763916
-22.569348,1,55532.868185
-21.67973,2,55533.097386
1476.405644,541,55594.663164
1382.430371,429,55643.259111
86.897907,115,55656.34007
-24.135055,1,55656.455423
-24.612691,1,55656.569162
7915.314012,2690,55962.605721
3309.608257,1073,56084.816285
5031.139068,1621,56268.799009
3336.867914,1080,56391.523408
1672.263122,538,56452.685988
7622.187564,2602,56748.711436
-22.878124,1,56748.826621
675.161555,223,56774.26288
258.223765,153,56791.803981
5008.315046,1609,56975.519045
1668.535986,636,57048.360418
39.238464,103,57059.919009
-23.603936,1,57060.032076
5487.056862,2016,57294.382791
1763.255388,642,57367.284292
1602.565549,436,57416.930896
2548.616402,734,57500.539251
3305.066626,1077,57623.259158
18.016202,87,57633.195589
-22.784758,1,57633.302713
1666.840948,558,57696.949448
4023.069022,1387,57855.071966
3251.034287,978,57966.728403
4936.56113,1615,58150.62735
3380.025403,1171,58283.809776
4344.463865,1435,58446.961043
10568.537396,3454,58839.017365
6095.870196,1815,59045.801874
8552.271678,2690,59352.433242
1683.959298,614,59422.126936
11778.787398,3701,59843.045014
1792.105272,655,59917.587667
11886.6861,3767,60346.506325
8414.757247,2570,60639.462649
8568.569595,2689,60945.670599
6941.343148,2236,61199.903844
1686.147701,537,61261.108191
1640.833652,536,61322.22244
62.282833,98,61333.454952
3391.769151,1180,61467.439216
3253.399588,979,61578.621932
3412.616188,1078,61701.257564
1582.907191,537,61762.488257
1671.549397,539,61823.80467
1626.475805,631,61895.455444
9186.329467,3126,62251.05
1586.02723,552,62313.82089
-22.972306,1,62313.991136
-23.018564,2,62314.218896
-23.571783,1,62314.322368
9926.139536,3120,62669.602879
3367.75458,1076,62792.089719
4343.375336,1456,62958.039794
6670.613856,2153,63203.335481
4901.756006,1614,63386.983891
4931.949631,1618,63570.975175
3223.010636,1161,63703.184386
-23.268412,1,63703.292303
1696.320529,694,63782.152699
-22.295357,5,63782.744987
2002.958488,753,63868.236397
28.03758,98,63879.360396
419.519025,229,63905.187845
9450.571483,3194,64269.02325
1651.439774,637,64341.230669
2585.110735,922,64445.993209
103.957173,190,64467.592328
2745.388083,939,64574.599119
31.0066,98,64585.848417
-23.378821,1,64585.976382
4281.452254,1441,64750.542997
5997.339804,1997,64977.835029
818.327178,332,65015.651191
8446.12207,2776,65331.877655
1577.092315,449,65382.950727
1641.065238,537,65444.00789
5056.136717,1707,65638.369225
8367.704137,2717,65947.576637
6510.742581,2034,66179.265937
116.931483,126,66193.51202
7903.702355,2682,66498.866678
-13.248334,9,66499.910451
2932.178669,953,66607.84176
8048.389346,2696,66914.538094
6874.975171,2265,67172.448418
8113.866271,2576,67465.615523
1547.375862,541,67526.792728
6688.307116,2153,67771.938631
1678.32139,537,67833.215674
1736.844148,634,67905.160624
41.399404,102,67916.705601
3296.170421,1072,68038.774171
8588.960257,2866,68364.725856
12085.147978,3884,68806.592931
2440.075416,832,68901.451908
147.446757,133,68916.543848
3267.993195,948,69024.208841
1771.833783,649,69097.731518
2425.521851,1068,69219.395508
2703.961511,1177,69352.98745
2650.818866,1186,69488.04669
854.441304,410,69534.517937
1192.301055,424,69582.642251
3308.663559,1225,69722.355666
1327.865368,716,69803.820979
1847.716129,673,69880.272773
1141.992922,333,69918.30759
20802.76293,6712,70681.408116
13633.610588,4289,71168.095537
5513.32659,1788,71371.449172
1508.271717,403,71417.241995
6821.671472,2152,71661.51787
12062.795928,3881,72102.57255
-23.93545,1,72102.681037
-23.503083,2,72102.902024
-22.887427,1,72103.008239
1561.341659,431,72152.027219
3396.929313,1076,72274.631951
1722.966407,539,72335.948277
94.284257,109,72348.405329
-22.25626,1,72348.522662
1549.238787,428,72397.261295
1697.817876,539,72458.522178
101.197894,114,72471.436393
1596.752574,424,72519.706557
4942.731677,1579,72698.928352
5684.484339,1865,72911.790665
7601.29664,2464,73191.779562
3475.460906,1078,73314.241014
1685.578394,537,73375.336086
3480.255414,1199,73511.614063
16245.074388,5379,74123.318966
3394.456778,1074,74245.489563
3695.64423,1231,74385.699515
51.847472,101,74397.271396
598.600776,388,74441.37423
4039.13782,1485,74610.147804
3424.769071,1164,74742.799863
3349.857815,1439,74906.571866
1630.177373,630,74978.003717
3351.81244,1064,75098.68853
4000.582127,1552,75275.383649
874.994431,329,75312.46061
792.897691,57,75318.958231
1687.841189,359,75359.757438
812.19447,317,75395.631492
1648.749572,377,75438.506278
78.26258,100,75449.968749
3478.82926,1192,75585.415583
3259.738437,1185,75720.126879
1644.466505,362,75761.316193
2812.839711,764,75848.509501
810.531265,323,75885.416644
1089.73774,382,75928.706446
1417.277161,528,75988.750098
1864.478486,673,76065.432927
760.658369,220,76090.502795
771.8148,50,76096.198136
1230.243793,504,76153.339773
4971.941677,1772,76354.785832
4276.152168,1412,76515.460896
844.474634,67,76523.058234
2933.860923,1026,76639.70885
730.654346,291,76672.596692
6438.294575,2371,76941.898884
79.810695,110,76954.453794
2754.200785,1048,77073.590163
848.861522,322,77110.099228
997.859509,440,77160.734622
-23.520976,1,77160.851381
-23.640104,2,77161.067699
845.976228,314,77196.699943
1237.947469,510,77254.855584
9916.239425,3729,77679.949989
857.317317,427,77728.414042
3530.427949,1174,77862.067552
1073.649199,387,77906.204333
1898.229173,700,77985.750015
4423.844059,1444,78150.065847
4534.886142,1805,78355.380153
4042.734805,1289,78501.673215
1153.454396,473,78555.790299
723.438203,214,78580.076777
2453.164728,876,78679.815345
-22.865928,1,78679.93773
4552.237386,1459,78845.720448
806.516599,310,78880.833179
5161.187881,1561,79058.568119
1705.981522,348,79097.837096
3569.847978,1037,79215.675465
-38.947413,62,79222.630438
-24.568589,3,79222.965696
6.295331,152,79240.249446
-23.996826,142,79256.316255
-49.216069,210,79280.181936
6.540406,83,79289.498099
0.17235,78,79298.315427
-19.046908,142,79314.763101
-47.280366,65,79322.044795
852.649445,462,79374.582534
152.0345,207,79398.183516
1023.945824,346,79437.509264
-18.674613,3,79437.86477
1617.127306,263,79467.834729
-41.251961,71,79476.033672
36.150402,90,79486.188188
1076.155522,451,79537.534992
1032.698771,420,79584.871265
-22.322597,3,79585.236665
29.201876,91,79595.549868
2166.635706,815,79687.852511
1259.265434,569,79752.526906
997.934676,342,79791.177428
1702.422057,376,79833.586344
38.144659,88,79843.56606
1897.751866,827,79936.942813
-40.673336,73,79945.259293
36.450298,228,79971.144908
-21.441403,3,79971.507231
-0.428236,79,79980.409946
-19.885831,3,79980.743502
-11.289635,7,79981.52541
1608.326003,623,80051.994116
-20.365834,74,80060.387233
-37.963948,132,80075.244223
-23.948823,1,80075.347878
-24.802429,1,80075.466447
-29.192401,72,80083.709085
-29.470333,69,80091.564774
-5.761246,145,80108.049405
804.696247,383,80151.271079
288.681531,138,80166.891621
-31.049267,74,80175.273287
-19.088017,74,80183.627101
-41.836338,67,80191.136998
67.945101,172,80210.63817
5.798358,76,80219.363125
-16.012764,6,80220.033581
-24.24561,1,80220.144173
-23.00507,1,80220.259711
-24.522661,1,80220.375598
-24.637161,1,80220.486016
-0.702113,209,80243.927578
-7.413267,71,80252.037089
-40.423743,59,80258.740816
-22.036726,7,80259.55044
-21.708561,5,80260.115633
-15.104574,131,80274.970966
-12.989696,74,80283.438042
1993.592351,796,80373.469718
-11.511271,6,80374.150146
-45.780644,61,80381.075608
-37.949838,69,80388.953124
-19.363739,7,80389.723766
44.499849,159,80407.747108
-44.010591,68,80415.513246
-21.377561,66,80423.010376
-44.424085,133,80438.056469
-1.560147,80,80447.155258
-0.899454,139,80463.011059
-18.256315,8,80463.935602
61.174413,100,80475.262422
773.366225,232,80501.540543
1033.765379,496,80557.582823
-23.643472,270,80588.0361
-21.306088,3,80588.384014
2.549781,15,80590.054837
4726.198649,1664,80778.603169
-14.769131,75,80787.130861
3.375093,83,80796.473265
-34.102878,65,80803.830126
-66.142746,269,80834.523831
827.969476,315,80870.163114
200.674139,189,80891.544457
-9.446052,10,80892.640546
982.337565,356,80932.764536
-27.944868,73,80940.987159
-6.911723,74,80949.272451
986.827146,426,80997.540151
11.417068,81,81006.730062
-14.039789,135,81021.843116
-9.106528,13,81023.283612
10.120308,84,81032.87664
-1.43947,74,81041.137807
-19.592361,4,81041.589721
-1.976646,76,81050.319306
-30.730193,74,81058.69026
3.098331,81,81067.775799
-21.333261,3,81068.114311
12.335474,77,81076.795314
-11.366712,72,81084.949887
-30.552216,71,81092.957762
1182.421645,547,81155.129228
-0.921886,76,81163.720522
-1.05672,71,81171.669426
-34.289796,67,81179.318449
715.597789,389,81223.241052
-16.73199,74,81231.581597
41.933682,155,81249.275211
